-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 02/01/2020 through 05/31/2020 
Location: Latitude  39.7855   Longitude 116.4851 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 125.43 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_RANGE,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
39.78551,116.48511,2020,127,   16.87,    6.96,   13.10,   27.41,   10.55,   19.25
39.78551,116.48511,2020,128,   10.86,   11.27,   14.41,   23.63,   12.77,   17.55
39.78551,116.48511,2020,129,    5.03,   11.12,   12.42,   15.84,   10.81,   13.72
39.78551,116.48511,2020,130,   13.30,    9.91,   13.44,   23.36,   10.06,   16.97
39.78551,116.48511,2020,131,   14.32,    0.82,    9.57,   25.67,   11.35,   18.31
39.78551,116.48511,2020,132,   18.59,    1.62,   10.72,   28.66,   10.07,   19.81
39.78551,116.48511,2020,133,   20.75,    0.74,   10.16,   29.54,    8.79,   19.58
39.78551,116.48511,2020,134,   18.90,    5.92,   13.82,   31.66,   12.76,   21.72
39.78551,116.48511,2020,135,   14.52,   10.62,   16.95,   31.10,   16.58,   23.28
39.78551,116.48511,2020,136,   10.98,   13.83,   16.65,   25.35,   14.37,   19.48
39.78551,116.48511,2020,137,   15.39,    8.68,   13.73,   28.13,   12.75,   18.78
39.78551,116.48511,2020,138,   11.65,    3.07,    9.12,   21.85,   10.20,   15.16
39.78551,116.48511,2020,139,   15.84,    1.68,   10.01,   26.03,   10.20,   18.33
39.78551,116.48511,2020,140,   19.36,    4.79,   13.19,   30.87,   11.52,   21.60
39.78551,116.48511,2020,141,   16.24,    8.59,   15.60,   30.36,   14.12,   22.62
39.78551,116.48511,2020,142,   10.18,   13.85,   16.19,   24.08,   13.90,   18.52
39.78551,116.48511,2020,143,   19.21,   11.66,   16.98,   31.44,   12.23,   22.31
39.78551,116.48511,2020,144,   13.38,   10.20,   15.26,   27.73,   14.35,   20.32
39.78551,116.48511,2020,145,   16.12,    8.06,   14.94,   29.56,   13.45,   21.81
39.78551,116.48511,2020,146,    9.46,   10.90,   14.76,   24.11,   14.65,   18.62
39.78551,116.48511,2020,147,   15.14,    9.22,   14.74,   27.76,   12.62,   20.25
39.78551,116.48511,2020,148,   15.65,    7.95,   14.78,   29.12,   13.47,   21.60
39.78551,116.48511,2020,149,   19.80,    9.12,   16.37,   33.91,   14.11,   23.63
39.78551,116.48511,2020,150,   17.02,   13.91,   18.11,   31.19,   14.17,   22.30
39.78551,116.48511,2020,151,-999,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00
39.78551,116.48511,2020,152,-999,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00
