Date_repor,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,School closures,Workplace Closures (OxBSG),Cancel public events (OxBSG),Restrictions on gatherings (OxBSG),Public information campaigns (OxBSG),Stay at home requirements (OxBSG),Close public transport (OxBSG),Restrictions on internal movement (OxBSG),International travel controls (OxBSG),Testing policy (OxBSG),Contact tracing (OxBSG),"Government Response Stringency Index ((0 to 100, 100 = strictest))"
21-02-20,India,SEARO,0,3,0,0,21-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
22-02-20,India,SEARO,0,3,0,0,22-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
23-02-20,India,SEARO,0,3,0,0,23-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
24-02-20,India,SEARO,0,3,0,0,24-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
25-02-20,India,SEARO,0,3,0,0,25-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
26-02-20,India,SEARO,0,3,0,0,26-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
27-02-20,India,SEARO,0,3,0,0,27-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
28-02-20,India,SEARO,0,3,0,0,28-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
29-02-20,India,SEARO,0,3,0,0,29-02-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
01-03-20,India,SEARO,0,3,0,0,01-03-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
02-03-20,India,SEARO,2,5,0,0,02-03-20,3,0,0,0,0.002,0,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
03-03-20,India,SEARO,0,5,0,0,03-03-20,5,2,0,0,0.004,0.001,0,0,,,,,,,,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,0,0,0,0,1,1,0,0,1,1,2,10.19
04-03-20,India,SEARO,22,27,0,0,04-03-20,6,1,0,0,0.004,0.001,0,0,,,,,,,,15.74,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,0,0,1,1,0,0,1,1,2,15.74
05-03-20,India,SEARO,2,29,0,0,05-03-20,28,22,0,0,0.02,0.016,0,0,,,,,,,,26.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
06-03-20,India,SEARO,2,31,0,0,06-03-20,29,1,0,0,0.021,0.001,0,0,,,,,,,,26.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
07-03-20,India,SEARO,3,34,0,0,07-03-20,31,2,0,0,0.022,0.001,0,0,,,,,,,,26.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
08-03-20,India,SEARO,5,39,0,0,08-03-20,34,3,0,0,0.025,0.002,0,0,,,,,,,,26.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
09-03-20,India,SEARO,5,44,0,0,10-03-20,44,10,0,0,0.032,0.007,0,0,,,,,,,,26.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
10-03-20,India,SEARO,6,50,0,0,11-03-20,50,6,0,0,0.036,0.004,0,0,,,,,,,,26.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
11-03-20,India,SEARO,10,60,0,0,12-03-20,73,23,0,0,0.053,0.017,0,0,,,,,,,,26.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
12-03-20,India,SEARO,14,74,0,0,13-03-20,75,2,1,1,0.054,0.001,0.001,0.001,6500,,0.005,,,,samples tested,33.33,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,2,0,1,0,2,1,0,0,1,1,2,26.85
13-03-20,India,SEARO,7,81,1,1,14-03-20,83,8,2,1,0.06,0.006,0.001,0.001,,,,,,,samples tested,36.11,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,0,1,0,2,1,0,0,2,1,2,33.33
14-03-20,India,SEARO,3,84,1,2,15-03-20,90,7,2,0,0.065,0.005,0.001,0,,,,,,,samples tested,38.89,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,0,2,0,2,1,0,0,2,1,2,36.11
15-03-20,India,SEARO,23,107,0,2,16-03-20,93,3,2,0,0.067,0.002,0.001,0,,,,,,,samples tested,48.15,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,0,2,0,2,1,0,0,3,1,2,38.89
16-03-20,India,SEARO,7,114,0,2,17-03-20,125,32,3,1,0.091,0.023,0.002,0.001,,,,,,,samples tested,48.15,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,1,2,0,2,1,0,1,3,1,2,48.15
17-03-20,India,SEARO,23,137,1,3,18-03-20,137,12,3,0,0.099,0.009,0.002,0,13125,,0.01,,,,samples tested,50,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,1,2,0,2,1,0,1,3,1,2,48.15
18-03-20,India,SEARO,14,151,0,3,19-03-20,165,28,3,0,0.12,0.02,0.002,0,13316,191,0.01,0,,,samples tested,59.72,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,1,2,0,2,1,0,1,3,1,2,50
19-03-20,India,SEARO,44,195,1,4,20-03-20,191,26,4,1,0.138,0.019,0.003,0.001,14376,1060,0.01,0.001,1125,0.001,samples tested,70.83,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,1,2,4,2,1,0,1,3,1,2,59.72
20-03-20,India,SEARO,0,195,0,4,21-03-20,231,40,4,0,0.167,0.029,0.003,0,15701,1325,0.011,0.001,1125,0.001,samples tested,76.39,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,1,2,4,2,1,2,2,3,1,2,70.83
21-03-20,India,SEARO,88,283,0,4,22-03-20,320,89,4,0,0.232,0.064,0.003,0,16999,1298,0.012,0.001,1121,0.001,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,1,2,2,3,1,2,76.39
22-03-20,India,SEARO,58,341,1,5,23-03-20,439,119,7,3,0.318,0.086,0.005,0.002,20707,3708,0.015,0.003,1462,0.001,samples tested,86.57,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
23-03-20,India,SEARO,93,434,4,9,24-03-20,492,53,9,2,0.357,0.038,0.007,0.001,20864,157,0.015,0,1295,0.001,samples tested,86.57,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,86.57
24-03-20,India,SEARO,85,519,0,9,25-03-20,562,70,9,0,0.407,0.051,0.007,0,25144,4280,0.018,0.003,1717,0.001,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,86.57
25-03-20,India,SEARO,87,606,1,10,26-03-20,649,87,13,4,0.47,0.063,0.009,0.003,,,,,1871,0.001,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
26-03-20,India,SEARO,43,649,3,13,27-03-20,724,75,17,4,0.525,0.054,0.012,0.003,27688,,0.02,,1902,0.001,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
27-03-20,India,SEARO,75,724,4,17,28-03-20,873,149,19,2,0.633,0.108,0.014,0.001,,,,,2195,0.002,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
28-03-20,India,SEARO,0,724,0,17,29-03-20,979,106,25,6,0.709,0.077,0.018,0.004,,,,,2492,0.002,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
29-03-20,India,SEARO,255,979,8,25,30-03-20,1071,92,29,4,0.776,0.067,0.021,0.003,,,,,2445,0.002,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
30-03-20,India,SEARO,92,1071,4,29,31-03-20,1251,180,32,3,0.907,0.13,0.023,0.002,,,,,2905,0.002,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
31-03-20,India,SEARO,180,1251,3,32,01-04-20,1397,146,35,3,1.012,0.106,0.025,0.002,,,,,2776,0.002,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
01-04-20,India,SEARO,385,1636,6,38,02-04-20,1965,568,50,15,1.424,0.412,0.036,0.011,47951,,0.035,,3076,0.002,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
02-04-20,India,SEARO,329,1965,12,50,03-04-20,2301,336,56,6,1.667,0.243,0.041,0.004,69245,21294,0.05,0.015,5937,0.004,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
03-04-20,India,SEARO,336,2301,6,56,04-04-20,2902,601,68,12,2.103,0.436,0.049,0.009,79950,10705,0.058,0.008,6984,0.005,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
04-04-20,India,SEARO,601,2902,12,68,05-04-20,3374,472,77,9,2.445,0.342,0.056,0.007,89534,9584,0.065,0.007,7870,0.006,samples tested,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,3,3,2,4,2,3,2,2,4,1,2,100
